"idRecipe","nameRecipe","difficulte","prix","quantite","preparationTime","totalTime","image"
"10","Quiche sans pâte","très facile","bon marché","4 personnes","10 min","40 min","[""https://assets.afcdn.com/recipe/20221010/135902_w150h150c1cx1360cy887cxb2121cyb1414.webp"", ""https://assets.afcdn.com/recipe/20180612/79546_w150h150c1cx2395cy1796cxb4785cyb3585.webp"", ""https://assets.afcdn.com/recipe/20180612/79545_w150h150c1cx1841cy2455cxb3678cyb4905.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"11","Parmentier de confit de canard","très facile","moyen","4 personnes","20 min","45 min","[""https://assets.afcdn.com/recipe/20221004/135706_w150h150c1cx683cy1487cxb1414cyb2119.webp"", ""https://assets.afcdn.com/recipe/20141009/1649_w150h150c1cx1250cy1664.webp"", ""https://assets.afcdn.com/recipe/20141009/1648_w150h150c1cx1250cy1552.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"12","Pancake Moelleux : recette facile","très facile","bon marché","4 personnes","10 min","14 min","[""https://assets.afcdn.com/recipe/20221027/136756_w150h150c1cx2933cy1783cxb5500cyb3671.webp"", ""https://assets.afcdn.com/recipe/20180413/78569_w150h150c1cx2400cy1600cxb4800cyb3200.webp"", ""https://assets.afcdn.com/recipe/20221013/136166_w150h150c1cx3072cy1728cxb6144cyb3456.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"13","Crème pâtissière","très facile","bon marché","6 personnes","5 min","20 min","[""https://assets.afcdn.com/recipe/20221007/135812_w150h150c1cx708cy1612cxb1414cyb1953.webp"", ""https://assets.afcdn.com/recipe/20220930/135568_w150h150c1cx1161cy858cxb1920cyb1283.webp"", ""https://assets.afcdn.com/recipe/20180713/80960_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"14","Meringue : recette facile","très facile","bon marché","20 pièces","5 min","5 min","[""https://assets.afcdn.com/recipe/20160331/26445_w150h150c1cx1500cy1000.webp"", ""https://assets.afcdn.com/recipe/20170623/69370_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20100120/25181_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"15","Les Timbales de Jeanne (saumon à la mousse de courgettes au micro-ondes)","très facile","bon marché","4 personnes","15 min","18 min","[""https://assets.afcdn.com/recipe/20140921/15292_w150h150c1cx1224cy1224.webp"", ""https://assets.afcdn.com/recipe/20100120/6321_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20130501/5135_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"16","Béchamel rapide et facile","très facile","bon marché","4 personnes","5 min","7 min","[""https://assets.afcdn.com/recipe/20221013/136174_w150h150c1cx3072cy1728cxb6144cyb3456.webp"", ""https://assets.afcdn.com/recipe/20180628/80001_w150h150c1cx1787cy2383cxb3575cyb4767.webp"", ""https://assets.afcdn.com/recipe/20150909/46783_w150h150c1cx1872cy2808.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"17","Filet mignon en croûte","très facile","bon marché","6 personnes","15 min","1 h","[""https://assets.afcdn.com/recipe/20201001/114522_w150h150c1cx157cy157cxb314cyb314.webp"", ""https://assets.afcdn.com/recipe/20170615/69644_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20131108/55853_w150h150c1cx300cy200.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"18","Crumble simple","très facile","moyen","6 personnes","10 min","35 min","[""https://assets.afcdn.com/recipe/20160404/56530_w150h150c1cx1128cy2275cxb2151cyb3000.webp"", ""https://assets.afcdn.com/recipe/20180713/81159_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20100120/49296_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"19","Pancakes faciles et rapides","très facile","bon marché","2 personnes","5 min","15 min","[""https://assets.afcdn.com/recipe/20211222/126211_w150h150c1cx1075cy827cxb2119cyb1415.webp"", ""https://assets.afcdn.com/recipe/20221013/136180_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20201030/115125_w150h150c1cx2080cy1560cxb4160cyb3120.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"20","Pain d'épices","facile","moyen","6 personnes","30 min","1 h 30 min","[""https://assets.afcdn.com/recipe/20221011/135945_w150h150c1cx1060cy707cxt115cyt94cxb2045cyb1326.webp"", ""https://assets.afcdn.com/recipe/20220929/135546_w150h150c1cx1000cy918cxb2121cyb1335.webp"", ""https://assets.afcdn.com/recipe/20181219/84929_w150h150c1cx4330cy2886cxb8650cyb5762.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"21","Tarte aux pommes à l'Alsacienne","très facile","bon marché","6 personnes","25 min","55 min","[""https://assets.afcdn.com/recipe/20230127/139908_w150h150c1cx1059cy707cxb2119cyb1414.webp"", ""https://assets.afcdn.com/recipe/20191119/102677_w150h150c1cx4330cy2886cxb8660cyb5773.webp"", ""https://assets.afcdn.com/recipe/20160922/65402_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"22","Sauté de veau au chorizo","très facile","bon marché","6 personnes","20 min","1 h 20 min","[""https://assets.afcdn.com/recipe/20130627/35195_w150h150c1cx1265cy2186cxb2362cyb3543.webp"", ""https://assets.afcdn.com/recipe/20130122/35196_w150h150c1cx192cy256.webp"", ""https://assets.afcdn.com/recipe/20140225/31460_w150h150c1cx1280cy960.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"23","Cake salé au jambon et aux olives","facile","moyen","6 personnes","20 min","1 h 5 min","[""https://assets.afcdn.com/recipe/20130206/48875_w150h150c1cx862cy997.webp"", ""https://assets.afcdn.com/recipe/20100120/42671_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20140126/45227_w150h150c1cx768cy1028.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"24","Hachis Parmentier","facile","bon marché","4 personnes","25 min","45 min","[""https://assets.afcdn.com/recipe/20221012/136013_w150h150c1cx727cy1355cxb1462cyb2051.webp"", ""https://assets.afcdn.com/recipe/20201228/116812_w150h150c1cx997cy751cxb1995cyb1502.webp"", ""https://assets.afcdn.com/recipe/20170614/69758_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"25","Béchamel","très facile","bon marché","6 personnes","-","15 min","[""https://assets.afcdn.com/recipe/20130823/62932_w150h150c1cx1411cy3438cxb3840cyb5087.webp"", ""https://assets.afcdn.com/recipe/20180710/80586_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20140409/65469_w150h150c1cx1632cy1224.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"26","Gratin Dauphinois","facile","bon marché","6 personnes","25 min","1 h 25 min","[""https://assets.afcdn.com/recipe/20201217/116563_w150h150c1cx1116cy671cxb2232cyb1342.webp"", ""https://assets.afcdn.com/recipe/20160401/5313_w150h150c1cx2088cy1412.webp"", ""https://assets.afcdn.com/recipe/20180622/79932_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"27","Boeuf Bourguignon rapide","très facile","moyen","6 personnes","10 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20131009/56293_w150h150c1cx1872cy2808.webp"", ""https://assets.afcdn.com/recipe/20230619/143545_w150h150c1cx3072cy1728cxb6144cyb3456.webp"", ""https://assets.afcdn.com/recipe/20100120/50011_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"28","Petits croissants au saumon fumé (toast apéritif)","très facile","moyen","16 petits fours","15 min","40 min","[""https://assets.afcdn.com/recipe/20230630/143922_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20170623/69321_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20130122/5806_w150h150c1cx989cy750.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"29","Cake au chocolat et amandes en poudre","très facile","bon marché","6 personnes","15 min","45 min","[""https://assets.afcdn.com/recipe/20160404/27170_w150h150c1cx1500cy971.webp"", ""https://assets.afcdn.com/recipe/20190907/97941_w150h150c1cx864cy735cxb1728cyb1471.webp"", ""https://assets.afcdn.com/recipe/20190527/93035_w150h150c1cx1512cy1872cxb3024cyb3744.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"30","Blinis faciles maison","très facile","bon marché","4 personnes","5 min","25 min","[""https://assets.afcdn.com/recipe/20160527/26170_w150h150c1cx3000cy2000.webp"", ""https://assets.afcdn.com/recipe/20160527/26169_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20160401/26167_w150h150c1cx2105cy2105.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"31","Panna cotta","très facile","bon marché","6 personnes","10 min","20 min","[""https://assets.afcdn.com/recipe/20221026/136708_w150h150c1cx869cy693cxb2121cyb1414.webp"", ""https://assets.afcdn.com/recipe/20170905/71705_w150h150c1cx1411cy4176cxb3999cyb6000.webp"", ""https://assets.afcdn.com/recipe/20120831/37557_w150h150c1cx192cy256.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"32","Osso bucco de veau","facile","moyen","4 personnes","20 min","1 h 5 min","[""https://assets.afcdn.com/recipe/20130205/63559_w150h150c1cx966cy1491cxb1920cyb2272.webp"", ""https://assets.afcdn.com/recipe/20110511/67202_w150h150c1cx192cy256.webp"", ""https://assets.afcdn.com/recipe/20160124/61014_w150h150c1cx968cy1296.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"33","Filet mignon de porc au Maroilles","très facile","moyen","6 personnes","30 min","1 h","[""https://assets.afcdn.com/recipe/20130304/1669_w150h150c1cx1000cy1312.webp"", ""https://assets.afcdn.com/recipe/20140212/5240_w150h150c1cx1296cy864.webp"", ""https://assets.afcdn.com/recipe/20140814/1670_w150h150c1cx768cy1024.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"34","Chili con carne facile","très facile","bon marché","4 personnes","10 min","35 min","[""https://assets.afcdn.com/recipe/20211222/126214_w150h150c1cx1124cy721cxb2119cyb1415.webp"", ""https://assets.afcdn.com/recipe/20221019/136415_w150h150c1cx3072cy1728cxb6144cyb3456.webp"", ""https://assets.afcdn.com/recipe/20161116/23198_w150h150c1cx1825cy2739cxb3651cyb5478.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"35","Pommes de terres sautées","très facile","bon marché","4 personnes","10 min","20 min","[""https://assets.afcdn.com/recipe/20221007/135810_w150h150c1cx921cy936cxb2120cyb1414.webp"", ""https://assets.afcdn.com/recipe/20180621/79737_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20110517/44536_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"36","Le trianon ou royal de Nadine","moyenne","bon marché","8 personnes","2 h","2 h 15 min","[""https://assets.afcdn.com/recipe/20170623/69271_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20170315/2466_w150h150c1cx1872cy2808.webp"", ""https://assets.afcdn.com/recipe/20170623/69287_w150h150c1cx3000cy2000.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"37","Rôti de porc de Dijon","facile","bon marché","6 personnes","30 min","1 h 30 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"38","Filet mignon de porc à la moutarde","très facile","moyen","4 personnes","18 min","1 h 5 min","[""https://assets.afcdn.com/recipe/20171004/72705_w150h150c1cx2000cy3000cxb4000cyb6000.webp"", ""https://assets.afcdn.com/recipe/20160405/8964_w150h150c1cx1500cy1000.webp"", ""https://assets.afcdn.com/recipe/20111204/10840_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"39","Tiramisu aux speculoos","facile","bon marché","6 personnes","25 min","25 min","[""https://assets.afcdn.com/recipe/20191128/103126_w150h150c1cx2583cy1740cxb5166cyb3480.webp"", ""https://assets.afcdn.com/recipe/20160616/27628_w150h150c1cx1500cy2248.webp"", ""https://assets.afcdn.com/recipe/20160616/23601_w150h150c1cx1500cy2248.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"40","Tarte thon, tomate et moutarde","très facile","bon marché","4 personnes","15 min","55 min","[""https://assets.afcdn.com/recipe/20180503/79010_w150h150c1cx1920cy2880.webp"", ""https://assets.afcdn.com/recipe/20180628/80053_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20221013/136157_w150h150c1cx1920cy1080cxb3840cyb2160.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"41","Couscous poulet et merguez facile","très facile","bon marché","6 personnes","30 min","1 h 5 min","[""https://assets.afcdn.com/recipe/20180621/79724_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20221013/136129_w150h150c1cx1792cy1006cxb3584cyb2012.webp"", ""https://assets.afcdn.com/recipe/20130131/25742_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"42","Cannelés (7ème rencontre Marmiton)","très facile","bon marché","16 cannelés","10 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20220426/131518_w150h150c1cx2120cy1416cxb4240cyb2832.webp"", ""https://assets.afcdn.com/recipe/20160405/63560_w150h150c1cx1500cy1000.webp"", ""https://assets.afcdn.com/recipe/20100120/60485_w150h150c1cx192cy256.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"43","Velouté de champignons","très facile","bon marché","3 personnes","10 min","50 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"44","Original American Cookies de Mike","très facile","bon marché","15 Pièces","5 min","15 min","[""https://assets.afcdn.com/recipe/20200916/114198_w150h150c1cx1321cy1321cxb2642cyb2642.webp"", ""https://assets.afcdn.com/recipe/20160513/21947_w150h150c1cx1970cy4135cxb4000cyb5570.webp"", ""https://assets.afcdn.com/recipe/20160401/21945_w150h150c1cx2600cy1643.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"45","Paupiettes de veau","très facile","bon marché","2 personnes","15 min","45 min","[""https://assets.afcdn.com/recipe/20221007/135809_w150h150c1cx851cy1190cxb1686cyb1778.webp"", ""https://assets.afcdn.com/recipe/20131001/22169_w150h150c1cx222cy125.webp"", ""https://assets.afcdn.com/recipe/20180716/81382_w150h150c1cx1880cy2506cxb3760cyb5013.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"46","Tarte au citron meringuée","très facile","bon marché","6 personnes","30 min","55 min","[""https://assets.afcdn.com/recipe/20140121/63377_w150h150c1cx1100cy1412cxb2796cyb3567.webp"", ""https://assets.afcdn.com/recipe/20170213/63342_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20170213/63346_w150h150c1cx3000cy2000.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"47","Gâteau aux pommes facile","très facile","bon marché","6 personnes","10 min","50 min","[""https://assets.afcdn.com/recipe/20170529/37207_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20170529/37211_w150h150c1cx3000cy2000.webp"", ""https://assets.afcdn.com/recipe/20170529/37209_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"48","Tarte frangipane aux poires et au chocolat","facile","bon marché","6 personnes","10 min","40 min","[""https://assets.afcdn.com/recipe/20171220/76170_w150h150c1cx2000cy3000cxb4000cyb6000.webp"", ""https://assets.afcdn.com/recipe/20171220/76169_w150h150c1cx3000cy2000cxb6000cyb4000.webp"", ""https://assets.afcdn.com/recipe/20141105/46014_w150h150c1cx1250cy1875.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"49","Carbonades flamandes traditionnelles","très facile","bon marché","4 personnes","30 min","3 h 40 min","[""https://assets.afcdn.com/recipe/20130201/9458_w150h150c1cx1250cy1875.webp"", ""https://assets.afcdn.com/recipe/20180712/80825_w150h150c1cx1920cy1080cxb3840cyb2160.webp"", ""https://assets.afcdn.com/recipe/20111026/27987_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"50","Tarte tatin aux endives et chavignol","facile","moyen","4 personnes","25 min","1 h 5 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"51","Pain d'épices aux fruits secs facile","très facile","bon marché","8 personnes","15 min","50 min","[""https://assets.afcdn.com/recipe/20201201/116004_w150h150c1cx2000cy3000cxb4000cyb6000.webp"", ""https://assets.afcdn.com/recipe/20160527/2316_w150h150c1cx3000cy2000.webp"", ""https://assets.afcdn.com/recipe/20131018/2313_w150h150c1cx1024cy680.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"52","Tarte aux pommes","facile","bon marché","6 personnes","25 min","55 min","[""https://assets.afcdn.com/recipe/20220128/128250_w150h150c1cx1294cy688cxb2037cyb1472.webp"", ""https://assets.afcdn.com/recipe/20120905/13569_w150h150c1cx192cy256.webp"", ""https://assets.afcdn.com/recipe/20221019/136424_w150h150c1cx3072cy1728cxb6144cyb3456.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"53","Galette des rois facile","très facile","bon marché","6 personnes","10 min","45 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
