"idRecipe","step","name"
"2","10","Préparation de la béchamel. 
Dans une petite casserole sur feu doux, faire blondir les 20 g de beurre, ajouter la farine et mélanger pour obtenir un appareil homogène."
"2","11","Incorporer petit à petit le lait en n'arrêtant jamais de remuer, ça peut prendre 10 bonnes minutes, on doit obtenir une sauce assez épaisse."
"2","12","Saler, poivrer et râper un peu de noix de muscade (c'est fort, il faut en mettre peu)."
"2","14","Enfourner le tout dans le four à 200°C (thermostat 6-7) et laisser cuire 1h (la béchamel doit croustiller et être dorée)."
"3","0","Pour réaliser cette recette, il vous faut un robot qui permette d'ajouter des ingrédients au fur et mesure sans devoir tout arrêter et ouvrir un couvercle à chaque fois..."
"3","1","Mais c'est la recette idéale pour tous ceux qui sont fâchés avec les interminables montages au bain-marie !"
"3","3","Mélangez la levure à la farine."
"3","4","Séparez les blancs des jaunes d'oeufs, et montez les blancs en neige avec une pincée de sel."
"3","5","Quand ils sont très fermes, ajoutez le sucre et battez encore."
"3","6","Baissez la vitesse du robot et ajoutez d'un coup les 4 jaunes, puis tout de suite la farine et la levure en pluie."
"3","7","Arrêtez très rapidement le robot pour que la préparation n'ait pas le temps de retomber, versez dans le moule, lissez la surface et enfournez immédiatement pour 20 min."
"3","8","Démoulez tiède et attendez que le gâteau soit refroidi pour le trancher dans l'épaisseur et le garnir."
"4","0","Préchauffer le four à 150°C (thermostat 5)."
"4","1","Eplucher et couper les pommes de terres en rondelles. 

Presser l'ail."
"4","2","Napper le fond d'un plat à gratin de crème."
"4","3","Alterner une couche de pommes de terres, crème, ail, sel, poivre,"
"4","4","jusqu'à épuisement des ingrédients."
"4","5","Terminer en nappant de crème, sel, poivre."
"4","6","Mettre au four pendant au moins une heure. 
Plus la température est basse et le temps de cuisson long, plus les pommes seront fondantes..."
"4","7","Déguster"
"5","0","Faites fondre dans une casserole le chocolat et le beurre, en remuant régulièrement pour former une pâte homogène et onctueuse."
"5","1","Préchauffez le four à 210°C (thermostat 7).
Dans un saladier, mélangez les oeufs, le sucre et la farine."
"5","2","Incorporez la préparation chocolatée et mélangez."
"5","3","Versez 1_3 de la préparation dans des ramequins individuels."
"5","4","Déposez deux carrés de chocolat dans chacun des 4 ramequins,"
"5","5","puis recouvrez-les avec le reste de la préparation chocolatée."
"5","6","Placez les ramequins au four pendant environ 12 minutes, pas plus!"
"5","7","Dégustez de préférence chauds ou tièdes."
"5","8","Miam !"
"6","0","Faire bouillir le lait avec le sucre, le sucre vanillé et le zeste de votre choix (attention faire un ruban assez long pour le retirer facilement en fin de cuisson)."
"6","1","Lorsque le lait bout, jeter le riz en pluie et baisser le feu pour que l'ébullition soit très lente, le riz doit cuire très lentement."
"6","2","Lorsque le riz affleure le lait, couper le feu et laisser refroidir ; le riz va finir de s'imbiber de lait en refroidissant."
"6","3","On peut servir ce dessert tiède ou froid dans des ramequins avec un zeste de citron vert pour décorer le dessus."
"7","0","Emincer les oignons."
"7","1","Les faire fondre dans le beurre."
"7","2","Râper 4 courgettes avec leur peau."
"7","3","Les ajouter aux oignons."
"7","4","Préchauffer le four à 200°C (thermostat 6-7)."
"7","5","Mélanger le gruyère râpé, les oeufs, la crème fraîche, puis saler et poivrer."
"7","6","Mettre les courgettes dans un plat et verser par dessus la sauce et faire à four chaud pendant 15 min."
"8","0","Séparer les blancs des jaunes d'oeufs."
"8","1","Mélanger les jaunes avec le sucre roux et le sucre vanillé."
"8","2","Ajouter le mascarpone au fouet."
"8","3","Monter les blancs en neige et les incorporer délicatement à la spatule au mélange précédent. Réserver."
"8","4","Mouiller les biscuits dans le café rapidement avant d'en tapisser le fond du plat."
"8","5","Recouvrir d'une couche de crème au mascarpone puis répéter l'opération en alternant couche de biscuits et couche de crème en terminant par cette dernière."
"8","6","Saupoudrer de cacao."
"8","7","Mettre au réfrigérateur 4 heures minimum puis déguster frais."
"9","0","Préchauffer le four à 210°C (thermostat 7)."
"9","1","Peler, évider et découper les pommes en cubes grossiers, les répartir dans un plat allant au four."
"9","2","Les arroser de jus du citron et les saupoudrer de cannelle et de sucre vanillé."
"9","3","Dans un saladier, mélanger la farine et la cassonade. Puis ajouter le beurre en petits cubes et mélanger à la main de façon à former une pâte grumeleuse."
"9","4","Émietter cette pâte au dessus des pommes de façon à les recouvrir."
"9","5","Enfourner pour 30 minutes de cuisson."
"9","6","Servir tiède avec de la crème fouettée ou de la glace à la vanille."
"10","0","Mixez tous les ingrédients sauf le jambon, le découper en morceaux et mélanger ensuite avec le reste."
"10","1","Placez dans un plat a tarte beurré et faites cuire une dmi-heure à 200°C."
"11","0","Lavez et épluchez les pommes de terre, et mettez-les à cuire dans un grand volume d'eau salée."
"11","1","Réchauffez les cuisses de canard au bain-marie pour les extraire de leur graisse."
"11","2","Conservez une cuillère à soupe de graisse de canard."
"11","3","Découpez et hachez grossièrement les cuisses confites (surtout pas de mixer !)."
"11","4","Emincer les échalotes et les oignons."
"11","5","Dans une large poêle ou une sauteuse, faites blondir les oignons et les échalotes hachés dans la cuillère à soupe de graisse de canard, à feu très doux."
"11","6","Lorsque ce mélange oignons + échalotes est bien blond, ajoutez le hachis de canard et mettez à feu vif, en mélangeant vivement, pendant 5 minutes. Le hachis de canard doit être finement grillé en surface, mais rester moelleux. Réservez hors du feu."
"11","7","Ecrasez vos pommes de terre à la fourchette (pitié, pas de presse-purée !) et faites une purée moelleuse en ajoutant 50 % d'eau et 50 % de lait."
"11","8","Salez, poivrez, ajoutez une pincée de muscade et la crème fraîche."
"11","9","Préchauffez le four à 200°C (thermostat 6-7)."
"11","10","Dans un plat suffisamment haut, étalez la moitié de votre hachis de canard."
"11","11","Mélangez la moitié qui reste avec le même volume de purée, et étalez cette deuxième couche sur la première. Finissez par une troisième couche de purée."
"11","12","Striez le sommet de votre purée avec le dos d'une fourchette."
"11","13","Laissez cuire à four chaud (200°C) pendant 25 min. Vous pouvez également finir la cuisson 3 minutes sous le gril pour obtenir un joli gratiné."
"11","14","Servez avec une salade (mâche, par exemple) et un Cahors léger: ce plat ne paye pas de mine, mais vos convives seront très agréablement surpris !"
"12","0","Faire fondre le beurre, dans une casserole à feu doux ou dans un bol au micro-ondes."
"12","1","Mettre la farine, la levure et le sucre dans un saladier. Mélanger et creuser un puits."
"12","2","Ajouter ensuite les oeufs entiers et fouetter l'ensemble."
"12","3","Incorporer le beurre fondu, fouetter puis délayer progressivement le mélange avec le lait afin d'éviter les grumeaux."
"12","4","Laisser reposer la pâte au minimum 1 heure au réfrigérateur."
"12","5","Dans une poêle chaude et légèrement huilée, faire cuire comme des crêpes, mais en les faisant plus petites. Réserver au chaud et déguster."
"13","0","Mélanger les jaunes d'oeuf avec le sucre. Battre au fouet jusqu'à que le mélange blanchisse."
"13","1","Ajouter la farine et bien mélanger avec le mélange sucre_oeufs. Ajouter 1_2 verre de lait pour que le mélange soit plus liquide."
"13","2","Mettre à chauffer le lait. Lorsque le lait est tiède (au bout de 3-4 min) ajouter le mélange oeufs_farine_sucre_lait et la gousse de vanille fendue et grattée avec ses graines."
"13","3","Mélanger au fouet jusqu'à ébullition."
"13","4","A ce moment là, votre crème sera déjà bien épaisse et vous pouvez arrêter la cuisson."
"14","0","Quelques trucs pour bien réussir ces meringues : sortir les oeufs du réfrigérateur un quart d'heure avant de les utiliser."
"14","1","Ne surtout pas mélanger de jaunes aux blancs d'oeuf."
"14","2","Ajouter une pincée de sel avant de battre les blancs en neige."
"14","3","Utiliser un récipient plus haut que large et utiliser un batteur électrique (bien plus rapide et moins fatiguant)! On peut commencer :"
"14","4","Battre les blancs d'oeuf en neige ferme."
"14","5","Ajouter le sucre par petites quantités tout en continuant de battre."
"14","6","Préchauffer le four à 120°C (thermostat 4)."
"14","7","Déposer immédiatement de petits tas de meringue sur une plaque de four préalablement recouverte de papier sulfurisé."
"14","8","Cuire entre 30 minutes et 1 heure à 120°C."
"14","9","Au bout de 30 minutes, on obtient des meringues blanches et moelleuses."
"14","10","Au bout d'1 heure, on obtient des meringues rosées, craquantes et fondantes avec un coeur moelleux."
"14","11","Une fois cuites, décoller les meringues délicatement dès la sortie du four et laisser refroidir sur une grille."
"15","0","Rincer, essorer et ciseler l'aneth et la menthe. Peler et émincer la gousse d'ail."
"15","1","Râper les courgettes."
"15","2","Les faire revenir dans 1 cuillère à soupe d'huile d'olive avec l'ail émincé et les herbes ciselées."
"15","3","Assaisonner (mais pas trop, attention au saumon fumé). Réserver et laisser un peu refroidir."
"15","4","Battre les oeufs et la crème en omelette."
"15","5","Mélanger cette préparation avec les courgettes râpées et éventuellement, donner un petit coup de mixeur pour obtenir l'aspect ""mousse""."
"15","6","Tapisser 4 ramequins avec les tranches de saumon fumé."
"15","7","Verser le mélange omelette-courgettes dans les ramequins tapissés de saumon."
"15","8","Faire cuire au micro-ondes pendant 2 à 3 minutes, selon la puissance (vérifier la cuisson vous-même, il n'y a que ça de vrai !)."
"15","9","Déguster !"
"16","0","Dans un grand récipient, faire fondre le beurre 1 minute au micro-ondes.
Le sortir et ajouter la farine en remuant bien."
"16","1","Porter le lait à ébullition, le laisser bouillir quelques instants."
"16","2","Verser le lait sur le mélange farine_beurre en fouettant. Assaisonner."
"16","3","Remettre le tout au micro-ondes pendant 1 minute."
"16","4","Bien fouetter, c'est prêt !"
"17","0","Peler et émincer les oignons."
"17","1","Les faire revenir dans une sauteuse avec 20 g de beurre pendant 3 minutes environ. Les retirer de la sauteuse et les réserver."
"17","2","Dans la même sauteuse, faire revenir les filets mignons de chaque côté."
"17","3","Laisser cuire 10 minutes à feu doux."
"17","4","Réincorporer les oignons. Poursuivre la cuisson pendant 5 minutes. Saler, poivrer. Réserver."
"17","5","Dérouler les pâtes feuilletées."
"17","6","Déposer sur chaque pâte deux tranches de jambon et 100 g de gruyère. Saler et poivrer."
"17","7","Y déposer un filet sur chaque pâte garnie et napper de sauce aux oignons."
"17","8","Replier la pâte autour de la viande et souder les bords à l'aide du jaune d'oeuf préalablement battu et d'un pinceau alimentaire."
"17","9","Enfourner pour 45 minutes de cuisson à 200°C (thermostat 6-7)."
"18","0","Préchauffer le four à 180°C (thermostat 6). Peler les pommes."
"18","1","Couper les pommes en dés."
"18","2","Dans un saladier, mélanger la farine au sucre,"
"18","3","puis au beurre"
"18","4","Malaxer le tout avec les doigts pour obtenir une pâte sableuse."
"18","5","Beurrer le moule, y disposer les pommes tranchées (ou les poires) et placer la pâte par dessus."
"18","6","Laisser cuire 25 min. Servir avec une crème anglaise."
"19","0","Battre grossièrement l'oeuf et le sucre dans un saladier."
"19","1","Y rajouter le beurre fondu ou l'huile."
"19","2","Mélanger à part la farine et la levure, puis en mélanger la moitié avec la préparation."
"19","3","Délayer progressivement avec le lait tout en rajoutant l'autre moitié de farine petit à petit (cela évitera de créer des grumeaux)."
"19","4","Aucun temps de repos n'est nécessaire, si ce n'est juste le temps de faire chauffer votre poêle à feu moyen. Huilez ou beurrez la poêle à l'aide de papier essuie-tout."
"19","5","A l'aide d'une petite louche ou d'une grosse cuillère à sauce, déposer des ""ronds"" dans la poêle."
"19","6","Lorsque les bulles apparaissent et éclatent, retourner les pancakes et ne pas les laisser plus d'une min sur l'autre face."
"20","0","Faites chauffer 250 g de miel à la casserole ou au micro-ondes."
"20","1","Mélangez la farine avec la levure chimique, les deux sucres et les épices."
"20","2","Ajoutez le miel chaud (en remuant idéalement avec une cuillère en bois)."
"20","3","Incorporez petit à petit 2 oeufs, puis un peu de lait juste tiède pour amalgamer le tout."
"20","4","Préchauffez le four à 160°C (thermostat 5-6)."
"20","5","Versez la préparation dans un moule à cake bien beurré (utilisez une feuille de papier essuie-tout) et fariné."
"20","6","Enfournez et laissez cuire pendant 1h à 1h15."
"20","7","Démoulez le pain d'épices lorsqu'il a totalement refroidi. Attendez 24 heures au minimum avant de le déguster."
"20","8","Il se garde une semaine, enveloppé dans du papier d'aluminium."
"21","0","Pelez et coupez les pommes en fines tranches"
"21","1","Dans un saladier, mélangez le sucre, les oeufs, le sucre vanillé"
"21","2","la crème fraîche"
"21","3","Etalez la pâte dans un moule à tarte et piquez le fond à l'aide d'une fourchette. Disposez les pommes sur la pâte et versez le tout sur les pommes (ou versez uniquement la crème)"
"21","4","Puis disposer les lamelles de pommes roulées sur elles-même en roses."
"21","5","Enfournez environ 30 minutes, jusqu'à ce que la tarte prenne une belle couleur dorée."
"21","6","Déguster"
"22","0","Emincer l'oignon et détailler le chorizo pelé en rondelles."
"22","1","Découper le veau en morceaux."
"22","2","Faire revenir veau et oignons émincés jusqu'à coloration dans l'huile."
"22","3","Ajouter le chorizo puis la pulpe de tomate, le basilic haché et enfin les olives."
"22","4","Couvrir et faire mijoter à feu doux 1 heure minimum."
"22","5","Ce plat est encore meilleur préparé la veille et réchauffé le jour même."
"23","0","Préchauffer le four à 180°C (thermostat 6)."
"23","1","Couper les olives en rondelles."
"23","2","Verser les oeufs dans la farine et mélanger."
"23","3","Ajouter le lait et l'huile puis mélanger."
"23","4","Ajouter le jambon, les olives et le gruyère puis mélanger."
"23","5","Ajouter la levure et, pour ne pas changer, mélanger."
"23","6","Mettre le tout dans un plat à cake au préalable beurré et placer au four 45 min."
"24","0","Hacher l'oignon et l'ail.
Les faire revenir dans le beurre jusqu'à ce qu'ils soient tendres."
"24","1","Ajouter les tomates coupées en dés, la viande hachée, la farine, du sel, du poivre et les herbes de Provence."
"24","2","Quand tout est cuit, couper le feu et ajouter le jaune d'oeuf et un peu de parmesan. Bien mélanger."
"24","3","Préchauffer le four à 200°C (thermostat 6-7). 
Etaler au fond du plat à gratin. Préparer la purée. L'étaler au dessus de la viande. Saupoudrer de fromage râpé et faire gratiner."
"25","0","Faites fondre le beurre dans une casserole à fond épais."
"25","1","Ajoutez la farine et remuez avec une cuillère de bois sans laisser colorer. La farine doit juste épaissir."
"25","2","Versez le lait progressivement, sans cesser de remuer, jusqu'à ce que la sauce épaississe."
"25","3","Assaisonnez de sel, poivre et muscade râpée."
"26","0","Eplucher, laver et couper les pommes de terre en rondelles fines (NB : ne pas les laver APRES les avoir coupées, car l'amidon est nécessaire à une consistance correcte)."
"26","1","Hacher l'ail très finement."
"26","2","Porter à ébullition dans une casserole le lait, l'ail, le sel, le poivre et la muscade puis y plonger les pommes de terre et laisser cuire 10 à 15 min, selon leur fermeté."
"26","3","Préchauffer le four à 180°C (thermostat 6) et beurrer un plat à gratin à l'aide d'une feuille de papier essuie-tout."
"26","4","Placer les pommes de terre égouttées dans le plat. Les recouvrir de crème, puis disposer des petites noix de beurre sur le dessus."
"26","5","Enfourner pour 50 min à 1 heure de cuisson.

Utiliser le lait restant de la cuisson des pommes de terre pour faire une soupe ou une purée dans la foulée."
"27","0","Hacher les oignons. Peler l'ail."
"27","1","Dans une cocotte minute, faire roussir la viande et les lardons dans l’huile ou le beurre."
"27","2","Ajouter les oignons, les champignons égouttés et saupoudrer de fariner. Mélanger et laisser dorer un instant."
"27","3","Mouiller avec le vin rouge qui doit recouvrir la viande."
"27","4","Saler et poivrer."
"27","5","Ajouter l’ail et le bouquet garni."
"27","6","Fermer la cocotte minute."
"27","7","Laisser cuire doucement 60 min à partir de la mise en rotation de la soupape."
"28","0","Préchauffer le four à 200°C (thermostat 6-7).
Couper votre rond de pâte en 4, puis chaque quart en 4; ce qui fait 16 parts."
"28","1","Disposer dessus des petits morceaux de saumon fumé."
"28","2","Rouler chaque petite part en forme de petit croissant."
"28","3","Passer un petit peu de lait dessus, et mettre à four 25 min."
"29","0","Faire fondre le chocolat (en morceaux) au bain-marie avec 5 cuillères à soupe d’eau (ou le faire au micro-ondes)."
"29","1","Dans un saladier, battre les oeufs avec le sucre, jusqu’à ce que le mélange blanchisse. Ajouter la farine, la levure, le beurre fondu, la poudre d’amandes, et le chocolat. Mélanger."
"29","2","Verser la préparation jusqu’à mi–hauteur d’un moule à cake beurré."
"29","3","Mettre à cuire dans un four préchauffé à 180°C (thermostat 6 ) pendant 30 à 35 min."
"29","4","Attendre 5 min avant de démouler. Laisser refroidir."
"30","0","Mélanger tous les ingrédients ensemble"
"30","1","puis laisser reposer la pâte pendant 1 heure au réfrigérateur."
"30","2","Cuire dans un poêle à blinis ou sur une poêle antiadhésive."
"30","3","Lorsqu'ils font des trous, les retourner."
"30","4","Servir de suite ou réchauffer avant de passer à table."
"31","0","Faire ramollir les feuilles de gélatine dans de l'eau froide.
Mettre la crème, le sucre et la vanille dans une casserole et faire frémir."
"31","1","Dès le début de l'ébullition, retirer la casserole du feu et ajouter la gélatine égouttée."
"31","2","Bien remuer et verser dans des coupelles. Laisser refroidir puis placer quelques heures au réfrigérateur pour faire prendre."
"31","3","Ajouter du coulis de fraise, framboise ou autre fruit juste avant de servir."
"32","0","Fariner la viande, tapoter pour retirer l'excédent. Les faire dorer sur toutes les faces dans une cocotte-minute avec un fond d'huile."
"32","1","Peler et couper les carottes en rondelles épaisses, émincer les oignons, hacher l'ail. Les ajouter dans la cocotte, ainsi que les tomates et le vin blanc. Saler, poivrer, ajouter le bouquet garni et fermer la cocotte."
"32","2","Laisser cuire 45 min à partir de la mise en rotation de la soupape, à feu doux."
"33","0","Hacher l'oignon."
"33","1","Le faire blondir l'oignon dans une cocotte ou une sauteuse avec couvercle."
"33","2","Ajouter les filets mignons et les faire dorer sur tous les côtés."
"33","3","Verser le vin blanc. Couvrir et laisser cuire 20 minutes."
"33","4","Dans un bol, couper le Maroilles en petits morceaux. Ajouter la crème et mélanger."
"33","5","Vérifier la cuisson. Une fois les filets cuits, ajouter la crème et le Maroilles. Le Maroilles va fondre progressivement."
"33","6","Le plat est prêt une fois que la sauce est bien onctueuse."
"33","7","Ce plat est très bon accompagné de tagliatelles fraîches."
"34","0","Préchauffer le four à 180°C (thermostat 6)."
"34","1","Hacher l'oignon et l'ail."
"34","2","Dans une cocotte en fonte, faire fondre le beurre, et ensuite dorer doucement l'oignon et l’ail."
"34","3","Incorporer le boeuf haché et laisser cuire doucement 10 min."
"34","4","Mélanger le chili, le cumin, le concentré de tomates, et incorporer le tout au boeuf. Ajouter les haricots, le bouillon, du sel et du poivre."
"34","5","Couvrir et cuire 25 min au four."
"35","0","Eplucher et laver les pommes de terre, puis les couper en tranches de 1,5 cm d'épaisseur, puis en cubes. Ne plus les laver."
"35","1","Dans une sauteuse, faire chauffer 3 cuillères à soupe d'huile. Lorsque l'huile est chaude, y mettre les pommes de terre d'un coup, puis les enrober d'huile dans tous les sens avec une cuillère en bois."
"35","2","Ajouter sel et poivre (et éventuellement curry), puis re-mélanger."
"35","3","Porter à feu maximal et faire cuire avec le couvercle jusqu'à ce qu'une bonne odeur de pommes de terre grillées s'échappe... Ne pas les découvrir avant! Cela prend entre 3 et 5 minutes."
"35","4","A ce moment là seulement, retourner les pommes de terre. Baisser la température de 2 graduations (pour mettre à feu moyen)."
"35","5","Remettre le couvercle, puis retourner les pommes de terre toutes les 3 min pendant 10 min."
"35","6","Maintenant, elles sont cuites. Vérifier tout de même avec la pointe d'un couteau."
"36","0","Je vous suggère de bien lire la recette et les commentaires en bas de page avant de vous lancer, la réalisation n'en sera que plus facile."
"36","1","Résumé de la recette:"
"36","2","Première étape, préparer le biscuit :"
"36","3","Imaginez que c'est un biscuit à rouler, c'est le même principe."
"36","4","Pour cela, on casse les œufs et on les bat longtemps avec le sucre, le mélange doit franchement blanchir. On ajoute la farine, la levure, la poudre de noisette et le beurre fondu, et on mélange bien."
"36","5","On pose le moule sur une plaque couverte de papier sulfurisé graissé, on verse la pâte dedans sur une épaisseur de ½ cm pas plus et on fait cuire 10 à 15 minutes à 180°C."
"36","6","Une fois cuit (au toucher il doit être à peine cuit, et peu coloré), poser le fond de biscuit avec le papier sulfurisé sur un torchon humide pour arriver à décoller le papier."
"36","7","Placer le cercle sur le plat de présentation. Reposer le biscuit dedans (avant qu'il ne refroidisse trop, il devient cassant)."
"36","8","Là on laisse refroidir 10 minutes, le temps pour nous de préparer la suite."
"36","9","Seconde étape, le praliné feuilleté :"
"36","10","Faire fondre la pralinoise au bain-marie, laisser tiédir, écraser les crêpes en grosses paillettes avec un rouleau à pâtisserie, ajouter le pralin et les gavottes à la pralinoise fondue."
"36","11","Étaler sur le fond de biscuit en couche fine, tasser éventuellement avec les mains mouillées d'eau froide. Réfrigérer 30 minutes, ça doit durcir."
"36","12","Troisième couche : la chantilly au chocolat."
"36","13","On attaque cette étape quand le praliné est dur."
"36","14","Faire fondre le chocolat avec un peu de crème (jusqu'à 1_5ème). Monter la crème restante en chantilly : la crème à 30% de matières grasses, hyper froide, le bol passé 30 min au congélateur, et c'est parti !"
"36","15","Incorporer une cuillère de chantilly au chocolat fondu pour le détendre, ajouter l'alcool. Mélanger la chantilly et le chocolat délicatement. Verser dans le cercle par-dessus le reste sur environ 2 cm d'épaisseur (il reste souvent un bol en trop)."
"36","16","On lisse le dessus de la crème à la spatule, puis on fait des stries avec une fourchette."
"36","17","On enroule bien le tout dans du film étirable et c'est parti pour au moins 4 heures de réfrigérateur."
"36","18","On pense à faire sa vaisselle (oh là là !!!)."
"36","19","Plusieurs heures plus tard… la crème a durci, le gâteau est prêt à être démoulé."
"36","20","On saupoudre de cacao à l'aide d'une passoire."
"36","21","Enfin, on peut décorer avec de la pâte d'amandes, des copeaux de chocolat noir et blanc, des pistaches, des crêpes dentelles… bref ce qu'on veut."
"37","0","Piquer le rôti de petites gousses d'ail coupées en deux ou trois, suivant grosseur."
"37","1","Dans une cocotte, le faire dorer quelques minute dans du beurre sur toute les faces. Saler et poivrer."
"37","2","Quand il est bien coloré, le retirer de la cocotte et le badigeonner avec la moutarde forte, remettre ensuite à cuire avec les échalotes, couvrir et laisser mijoter à feu doux pendant +_- 1h30, en retournant de temps en temps."
"37","3","Rajouter de l'eau régulièrement, dès lors que tout le liquide est évaporé."
"37","4","Après ce temps, retirer le rôti et les échalotes, puis rectifier la sauce si nécessaire (avec sel et poivre), puis ajouter la crème fraîche selon votre goût."
"37","5","Couper le rôti en tranches, puis le servir nappé de sauce et accompagné des petites échalotes entières."
"38","0","Couper la viande en morceaux et mettre le mélange huile + beurre à chauffer."
"38","1","La faire dorer dans un mélange huile + beurre dans une cocotte."
"38","2","Retirer les morceaux de la cocotte et jeter le surplus de gras."
"38","3","Déglacer la cocotte avec le vin blanc, le bouillon cube, le jus des champignons et la crème (2_3 du pot)."
"38","4","Tartiner le filet mignon de moutarde à l'ancienne et le remettre dans la cocotte avec les champignons."
"38","5","Cuire environ 30 min, à feu très doux."
"38","6","En fin de cuisson, ajouter le reste de crème, saler et poivrer."
"38","7","Bon appétit."
"39","0","Faire un ruban avec les jaunes d'oeufs, le sucre et le sucre vanillé."
"39","1","Y ajouter le mascarpone."
"39","2","Battre les blancs en neige, les incorporer délicatement au mélange."
"39","3","Ajouter l'amaretto au café noir."
"39","4","Monter le gâteau: tremper, au fur et à mesure, les speculoos dans le café (attention à ne pas les ""détremper"")."
"39","5","Dans un plat, mettre une couche de biscuits, ensuite une couche de crème au mascarpone. Ensuite une autre couche de biscuits, et terminer par une couche de crème."
"39","6","Saupoudrer de cacao, couvrir d'un film plastique et mettre au réfrigérateur quelques heures."
"40","0","Etaler la pâte feuilletée sur un moule à quiche, piquer le fond de la pâte, puis recouvrir le fond avec la moutarde."
"40","1","Emietter le thon et le répartir sur le fond de la pâte."
"40","2","Laver les tomates et les essuyer, puis les couper en rondelles moyennes, et les disposer sur le thon."
"40","3","Battre les oeufs en omelette, ajouter la crème fraîche plus le lait."
"40","4","Saler et poivrer."
"40","5","Ajouter ce mélange sur la pâte, thon, tomate."
"40","6","Mettre au four (pré-chauffé à 200°C_th 6-7), et cuire environ 40 min (jusqu'à ce que la tarte soit dorée sans être trop brunie!)."
"41","0","Lavez et épluchez les carottes, les navets et les tomates et les couper en cubes."
"41","2","Fermez votre autocuiseur et compter 25 mn de cuisson une fois que celui-ci est monté en pression."
"41","3","En attendant, lavez et coupez les courgettes en cubes et égouttez les pois chiches."
"41","4","Une fois les 25 mn écoulées, évacuez la vapeur de votre autocuiseur, ouvrez et rajouter les courgettes et les pois chiches."
"41","5","Remettez au feu : comptez 10 mn de cuisson une fois votre autocuiseur sous pression."
"41","6","Faites cuire vos merguez sur un grill ou à la poêle, mais pas avec les légumes."
"41","7","Servez accompagné d'une semoule fine."
"42","0","La veille : faire bouillir le lait avec la vanille et le beurre."
"42","1","Pendant ce temps, mélanger la farine, le sucre puis incorporer les oeufs d'un seul coup, verser ensuite le lait bouillant."
"42","2","Mélanger doucement afin d'obtenir une pâte fluide comme une pâte à crêpes, laisser refroidir, puis ajouter le rhum."
"42","3","Placer au réfrigérateur 24 heures au minimum, 48 heures au maximum."
"42","4","Le jour J : sortir la pâte du frigo au moins une heure avant la cuisson."
"42","5","Préchauffer le four à thermostat 9 (270°C)."
"42","7","Démouler encore chaud."
"43","0","Faire fondre dans une casserole 3 cuillères à soupe de beurre."
"43","1","Ajouter un petit oignon haché et les champignons de Paris coupés en tout petits morceaux."
